api_id,module,package,tag,reason
cn.hutool.ai.model.gemini::GeminiConfig::getModelName#String (),hutool-ai,ai.model,portable,candidate for idiomatic Rust
cn.hutool.ai.model.gemini::GeminiProvider#,hutool-ai,ai.model,portable,candidate for idiomatic Rust
cn.hutool.ai.model.gemini::GeminiProvider::getServiceName#String (),hutool-ai,ai.model,portable,candidate for idiomatic Rust
cn.hutool.ai.model.gemini::GeminiProvider::create#GeminiService (final AIConfig config),hutool-ai,ai.model,portable,candidate for idiomatic Rust
cn.hutool.ai.model.gemini::GeminiService#,hutool-ai,ai.model,portable,candidate for idiomatic Rust
cn.hutool.ai.model.gemini::GeminiServiceImpl#,hutool-ai,ai.model,portable,candidate for idiomatic Rust
cn.hutool.ai.model.gemini::GeminiServiceImpl::GeminiServiceImpl#(final AIConfig config),hutool-ai,ai.model,portable,candidate for idiomatic Rust
cn.hutool.ai.model.gemini::GeminiServiceImpl::chat#String (final List<Message> messages),hutool-ai,ai.model,portable,candidate for idiomatic Rust
"cn.hutool.ai.model.gemini::GeminiServiceImpl::chat#void (final List<Message> messages, final Consumer<String> callback)",hutool-ai,ai.model,portable,candidate for idiomatic Rust
"cn.hutool.ai.model.gemini::GeminiServiceImpl::chatMultimodal#String (String prompt, final List<String> mediaList)",hutool-ai,ai.model,portable,candidate for idiomatic Rust
"cn.hutool.ai.model.gemini::GeminiServiceImpl::chatMultimodal#void (String prompt, final List<String> mediaList, final Consumer<String> callback)",hutool-ai,ai.model,portable,candidate for idiomatic Rust
cn.hutool.ai.model.gemini::GeminiServiceImpl::chatJson#String (final List<Message> messages),hutool-ai,ai.model,portable,candidate for idiomatic Rust
cn.hutool.ai.model.gemini::GeminiServiceImpl::predictImage#String (String prompt),hutool-ai,ai.model,portable,candidate for idiomatic Rust
cn.hutool.ai.model.gemini::GeminiServiceImpl::predictVideo#String (String prompt),hutool-ai,ai.model,portable,candidate for idiomatic Rust
cn.hutool.ai.model.gemini::GeminiServiceImpl::getVideoOperation#String (String operationName),hutool-ai,ai.model,portable,candidate for idiomatic Rust
"cn.hutool.ai.model.gemini::GeminiServiceImpl::downLoadVideo#void (String videoUri, String filePath)",hutool-ai,ai.model,portable,candidate for idiomatic Rust
cn.hutool.ai.model.gemini::GeminiServiceImpl::textToSpeech#String (String prompt),hutool-ai,ai.model,portable,candidate for idiomatic Rust
